Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Actual sentence
47,31S7M7DAGFPQNR1ZXD12VWN9AZ7LTM,3.2,3.4,3.2,11,52,81.81818182,3.363636364,63.63636364,"3) ""Great beer and great wine are on the same team."""
48,3FHTJGYT8MZC97UR55V2DUH4PF0GP6,2,3.4,2.8,7,40,28.57142857,6,71.42857143,3. i believe you just press CTRL+(click)
49,3RSBJ6YZEBPOA7MVFLC569C2EV4OFY,3.6,5.6,3.6,12,55,91.66666667,4.833333333,50,3. In the Host box type the IP address of your printer.
50,3X2LT8FDHVHN01LAYTX9DB82UTQ8WD,3,3.2,2.8,7,34,85.71428571,5,57.14285714,3) Purchase a new 2 button mouse..
51,3RTFSSG7T75IF85TSI6DIGU8ETPLWC,4.2,6.2,3,15,94,66.66666667,1.4,66.66666667,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")"
52,3TKSOBLOHKFEEWL66ELNHZLISYTBBZ,3.2,5.6,3.4,29,156,60.34482759,4.172413793,55.17241379,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here."
53,3SD15I2WD1T35P0YVUP9O01EQ5536F,2.2,2.8,3.6,7,36,50,2.428571429,57.14285714,3) We choose a winning 6-word story.
54,3FTID4TN8KXM4D0T7JO13DFOP1PLYB,4.4,5,4.6,13,62,80.76923077,2.615384615,53.84615385,3. Will the threat of a lawsuit do anything to the Palin camp?
55,39XCQ6V3KX36J4N29DD23XZY41W658,2.4,4.2,3.6,36,181,55.55555556,5.5,58.33333333,"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this."
56,3AQN9REUTEF361C1U2QDK07JGSNDYN,2.6,5,3.2,6,30,83.33333333,6,83.33333333,4-Albany NY has a great museum
57,36FFXPMST8N8O3D1AB059UOFUAHOHW,2.8,2.8,4,8,46,68.75,7.375,75,4.) Are washing machines the new water savers?
58,3KI0JD2ZU0HL681LX6SZ1HDUV7R67N,4.8,4.2,4.6,3,17,83.33333333,3.666666667,66.66666667,4. Click Forward.
59,344M16OZKHEEM8MNJVSM92RXCKJNEZ,3.2,5.2,3.2,22,118,59.09090909,6.227272727,59.09090909,"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing."
60,3KTCJ4SCVF09KP7BV6I7P3J3IL6M1G,3,3.6,2.8,13,63,88.46153846,3.461538462,53.84615385,"4. In the ""host:"" box, type the IP address of the print server."
61,3PCPFX4U4ZPRVJZBUY49VE72TWLFQW,4.8,6,2.6,21,125,83.33333333,4.19047619,71.42857143,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona."
62,36FQTHX3Z2Q9B1HTRL6HZGN646G3B0,3.6,3.6,4.2,6,32,33.33333333,10.16666667,66.66666667,"4)Please, do not take the train."
63,3JUDR1D0D5Q7UPNZ63P2BVDDKSGQ2N,3.8,4.8,4.6,13,68,65.38461538,2.769230769,53.84615385,"4) The story, along with the object, will then be auctioned on eBay."
64,3SNR5F7R91SM87BWMFFU4UVGQLPIEE,5.8,5.4,4.4,12,80,75,6.583333333,58.33333333,"4) ""We find no clear relation between income inequality and class-based voting."""
65,3X2YVV51PT35P11PZ8OUY1LUGNJW1G,1.6,3.6,1.8,5,35,80,3,100,50 kb/s doing Scottsdale.AZ server.
66,3RBI0I35XD25O9A41DK17RL7PFXY39,2.6,3.8,3.8,7,47,78.57142857,2.571428571,71.42857143,5.) Harry Potter sports an environmental audit.
67,3B9XR6P1WDUKWFJIU6Y4FN4V032BJK,3,4.2,4,12,57,66.66666667,4.166666667,41.66666667,5. Leave the Port as 9100 (default for me already in box)
68,3D7VY91L64WAXNP3X3BWVFWC4XXBMO,2.4,4.2,4,8,43,81.25,2.625,75,5)Many spas around- try the Mirror Lake Inn
69,3OCZWXS7ZN6O2PQ9WHJ4SGHVUWKL5U,4.4,6,4.2,30,170,81.66666667,3.333333333,56.66666667,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket."
70,3VO4XFFP14LEGQK5CF6X7MULV82Q73,2.6,4.8,2,11,57,59.09090909,6.727272727,54.54545455,5) The winning six-word writer gets to keep all the loot.
71,3QHITW7OYN8WZSI3JIIHHDWBWG8QAU,1.8,4.2,5,11,56,54.54545455,4.636363636,63.63636364,"6:13: So far, we've had a mummy, a cowboy, a ladybug...."
72,351S7I5UG8VMXO8FXW3D6I4PHSGJNH,5.8,5.8,1.8,31,173,83.87096774,4.580645161,67.74193548,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft."
73,3IQ9O0AYW5YOXQTTCA4P3GVHTVCTIF,3.2,4.6,4.8,5,29,70,4,60,"6. click the ""Forward"" button"
74,38DCH97KHG170LL7DOVUACZUM33JQ4,1.4,2.4,3,3,14,50,0,66.66666667,"6) Fun, right?"
75,368IUKXGA47ACE5LTSMG134FV1X6PU,3.4,5.6,3.2,20,119,80,3.2,65,"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few."
76,3Y3CZJSZ9JSZ5NLM11G0ESQU0OAR5R,3.4,5.8,4.2,15,76,36.66666667,4.733333333,60,"7:16: We've been honing our act, and we finally got 4 little girls to laugh."
77,3W9XHF7WGJUF3LJHCDP1GWAULZ1TKQ,4.8,6.4,3.2,38,266,72.36842105,3.526315789,60.52631579,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions."
78,33TGB4G0LOGLNLIOBW4Q6QIWH8HTXG,4.8,4,3.4,11,63,81.81818182,2.818181818,45.45454545,7. Select the Printer manufacturer and the model from the lists
79,3K2CEDRACA0AT9JKXP2HV92YA4WTMV,2.8,4.8,3.6,3,17,83.33333333,3.666666667,66.66666667,"8. click ""Apply."""
80,33QQ60S6ARHSQ8R28P5T28HNQF3U0D,3.8,4.4,2.2,33,202,87.87878788,5.696969697,72.72727273,"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand."
81,3RTFSSG7T75IF85TSI6DIGU8ETPWLN,4.2,5.6,4,32,185,89.0625,4.84375,68.75,"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt."
82,34KYK9TV2Q7DVI28H07I7OVIWMFBS0,4.6,6.4,5,32,159,78.125,2.5,43.75,"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache."
83,3DTJ4WT8BCE83X06MJ3G4PY6MYSZET,2.4,4,5,9,42,77.77777778,4.666666667,66.66666667,A 2 room suite or adjacent rooms is great.
84,329E6HTMSV1A44LNXYJAYJ6WR0P3KK,5,5.4,4.8,20,124,77.5,6.35,70,"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush."
85,3CESM1J3EH20WN2M5E0BTXCBOY06WP,4.6,5.4,4.4,16,92,65.625,3.25,62.5,Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.
86,3OZ4VAIBEWEZ5THOZNP4GZY23VIJVY,4.4,5.8,4.2,34,210,79.41176471,2.911764706,64.70588235,"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process."
87,3QQUBC64ZDDNS8D4E0IEXRC4SQUNX8,6,4.8,4.4,12,85,91.66666667,4.5,75,Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.
88,3D0LPO3EAAYUAY3QKB4TVUJIK6UOYV,6.2,6,4.8,20,147,80,4.45,75,"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket."
89,39O0SQZVJM6ESRZ5PUVXCC4QRU5R76,4.4,6,3.6,16,101,84.375,3.375,62.5,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday."
90,360ZO6N6J0IR9UA6ZJX0491MGXU9MC,4.4,4.4,3.2,34,231,76.47058824,4.558823529,64.70588235,"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired."
91,3BA7SXOG1IPIS54OZZN3QC0L2EBR8T,4.8,6,5,27,165,64.81481481,6,59.25925926,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.
92,35JDMRECC388CG51WRFRJII0B8YEGJ,1,4,4.6,6,29,83.33333333,9.666666667,66.66666667,A BIG THANKYOU GOES TO holli!
93,3XDJY5RK5RK9PW93RQSVEB707RJU4T,4.6,5.4,3.4,17,96,85.29411765,4.588235294,58.82352941,A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.
94,356ZPKYPUGGCVYFRZBH8KUO8UBPYPL,4.4,4.8,4.2,57,328,80.70175439,5.649122807,66.66666667,"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car."
95,34YWR3PJ279K7CLXDUGGMFGRKXK0XB,5,5.6,5.2,13,68,69.23076923,3.230769231,38.46153846,"About 40 guests were at the Halloween party, aged between 59 and 77."
96,34O39PNDK571U32V2B7DHEQMAKWRBS,5.2,5,3.2,18,100,72.22222222,6.388888889,61.11111111,"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months."
97,3MQKOF1EE1NZHWH1F18PZ3M35KMWD6,4.8,5.6,4.4,22,122,70.45454545,5.136363636,63.63636364,"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District."
98,3PKVGQTFIGJX7BV6C3LXPPONVTDYRD,4.2,4.6,3.6,15,88,66.66666667,3.066666667,53.33333333,"About 75 percent of members voting nationwide rejected the deal, one of the people said."
99,36KM3FWE3QBQSXF6VHCISG33I4570N,6,5.8,5.4,16,92,78.125,3.0625,68.75,"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday."
100,3K2CEDRACA0AT9JKXP2HV92YA5ATMB,3.6,4.8,4.6,45,242,61.11111111,3.822222222,57.77777778,"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more."
101,378G7J1SJKX492V1BWJ95L4O5WNWEZ,5,5.2,4.2,18,110,77.77777778,4.833333333,61.11111111,"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence."
102,341H3G5YFZD9C7LCEC41J0W2SXI0Z8,2.4,4.6,4.6,22,122,61.36363636,9,50,"about wifi-radar: it shows me the same networks as network manager, but it does a better job of getting connected to them."
103,3JHB4BPSFJ8IU98YRC4HLILRQYR9QZ,4,6,3,29,160,82.75862069,4.310344828,55.17241379,"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs."
104,3LG268AV375Z16EFC293IMW7DH9RES,5.6,6.2,4.6,37,208,63.51351351,7.297297297,64.86486486,"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination."
105,3KG2UQJ0MIN3JBCSSMNM3JGBVN7QNE,5.6,6,4.4,16,97,87.5,6.5,68.75,A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.
106,3CRWSLD91J3UGHEC18GI1ZWBBWGMO3,4.6,5.8,3.8,37,243,79.72972973,2.702702703,64.86486486,"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District."
107,3P888QFVX2TL1WC4T1NZI8GGLXCQOT,4.8,5.6,2.8,30,180,85,4,53.33333333,"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race."
108,3BPP3MA3TBJOY8J27IC7WAN87PKELP,4.6,5.2,4.6,54,306,67.59259259,5.62962963,59.25925926,"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . ."
109,3VJ4PFXFJ26ORLPK0R2MRET0Z1FUA4,3.8,5.4,3.6,31,186,70.96774194,7.258064516,67.74193548,"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag."
110,3G57RS03HG4I1341MB1ZDKIMOWV25O,3.4,3.4,4,13,101,69.23076923,3.076923077,76.92307692,"According to Environment Commissioner Egbebike, local residents have also contributed to the problem."
111,3SV8KD29L3RBPXSGI5EJ2KBB6VOZKD,4.8,5.8,3.2,21,144,71.42857143,4,76.19047619,"According to Google, Social Search will enhance the search experience on Google by providing users with more personally relevant search results."
112,3CIS7GGG64IRHY6WGW48NXJRKGDUEZ,4.8,5.4,3.8,17,97,52.94117647,4.176470588,64.70588235,"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused."
113,3W1K7D6QSAGAWUOMCS1Q3HSLJ1FBZ5,5.2,5.6,4.8,23,143,67.39130435,3.565217391,65.2173913,"According to insiders, the real ""This Is It"" plan was not a single film, but a three-year rollout to rehabilitate Jackson's deteriorated image."
114,31SIZS5W58EOY94KLT43C3LLWKWQR2,3.6,5.2,3,24,170,75,3.666666667,75,"According to my correspondent, this is a unique chance to sample home-style traditional Polish fare, including white borscht, pierogies, blintzes, golambki and much more."
115,3XD2A6FGFMTU7PNBJGTMGI0S8MC9SO,3.6,5,4.4,13,81,65.38461538,2.153846154,76.92307692,"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy."
116,3W5PY7V3UO6G9NCT4YCONY2WLCKJY7,3.2,5.2,3.2,29,159,68.96551724,7.551724138,62.06896552,"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market."
117,3VLL1PIENPNUFODVGX6C91SKQ0YZOX,3.8,4.4,5,30,169,78.33333333,5.233333333,60,"According to other forum posts on the web, someone was able to get this working on Cingular with the proper init/dial string, but this would be specific to the provider."
118,3HXCEECSQLS692HXMKFABSQM4AWYZ6,4,5.6,4.6,34,206,79.41176471,5.147058824,61.76470588,"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia."
119,3IZPORCT1E8BLG5H23H93PTK5X1RH8,4,6.4,2,37,231,77.02702703,4.405405405,59.45945946,"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent."
120,3W0XM68YZOUEU178AU5RAQRZTGBK19,4.4,5.2,5.2,11,64,54.54545455,7.545454545,63.63636364,"According to the complaint, Yee did not make any trades himself."
121,33W1NHWFYGKASGI3CESB3BY7P8FZTJ,4,6,3.6,26,172,65.38461538,3.269230769,73.07692308,"According to the News, ""When the nurse called for a student Thursday morning, Nikiyah's teacher misunderstood and sent the wrong student, [NIkyah's mother Naomi] Troy said."
122,3MD8CKRQZYM7CM07Q3KUF29ZIP5RJD,4.6,6.2,2.6,49,311,78.57142857,4.163265306,65.30612245,"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home."
123,3UZUVSO3P6U84Q1N7UDMWN2X7UAEMR,2.8,5.2,3.2,15,148,70,2.133333333,80,"According to this guide:  http://www.askdavetaylor.com/how_do_..._mac_os_x.html  I just need to add ""defaultos=macosx"" to the /etc/yaboot.conf file."
124,3SU800BH85RGE1W1PNZ8HE853J0QU6,6,6,4.4,31,205,77.41935484,2.741935484,64.51612903,A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.
125,3GL25Y6842THAQS42Z3EKCN4N0LMX8,5,5.4,3,30,166,78.33333333,5.066666667,66.66666667,"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B."
126,341H3G5YFZD9C7LCEC41J0W2SXHZ06,4.4,5,3.2,27,158,79.62962963,2.814814815,48.14814815,A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.
127,39RRBHZ0AT0P58MSH9SQ4TMSMTVZVZ,5,5,5.2,15,94,63.33333333,5.533333333,73.33333333,A complete experience will unfold that will be interactive and convert to new revenue streams.
128,344M16OZKHEEM8MNJVSM92RXCKKENR,6.6,6.6,1.4,31,191,66.12903226,5.193548387,61.29032258,A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.
